,religion,income,frequency
0,Agnostic,$0-10k,27
4,Agnostic,$10k-20k,34
8,Agnostic,$20k-30k,60
12,Agnostic,$30k-40k,81
16,Agnostic,$40k-50k,76
20,Agnostic,$50k-75k,137
1,Atheist,$0-10k,12
5,Atheist,$10k-20k,27
9,Atheist,$20k-30k,37
13,Atheist,$30k-40k,52
17,Atheist,$40k-50k,35
21,Atheist,$50k-75k,70
2,Buddhist,$0-10k,27
6,Buddhist,$10k-20k,21
10,Buddhist,$20k-30k,30
14,Buddhist,$30k-40k,34
18,Buddhist,$40k-50k,33
22,Buddhist,$50k-75k,58
3,Catholic,$0-10k,418
7,Catholic,$10k-20k,617
11,Catholic,$20k-30k,732
15,Catholic,$30k-40k,670
19,Catholic,$40k-50k,638
23,Catholic,$50k-75k,1116
